"link","Pje_Total_BP_en_RC"
"062450417",0.02
"062450418",0.02
"062450503",0
"062450505",0.05
"062450506",0.01
"062520101",0
"062520102",0.01
"062520103",0.32
"062520104",0.43
"062520106",0.18
"062520108",0.01
"062520208",0
"062520209",0
"062520215",0.15
"062520216",0.82
"062520217",1
"062520303",0.02
"062520305",0.34
"062520306",0.24
"062520307",0.1
"062520401",0
"062520402",0.12
"062520410",0.02
"062520411",0.09
"062520507",0.03
"062520613",0
"062520614",0.07
"062520706",0.01
"062520707",0.08
"062520801",0
"062520901",0.14
"062520903",0.07
"062520909",0.38
"062520913",0.38
"062520914",0.34
"062521012",0.07
"062521013",0.08
"062521201",0.06
"062521312",0
"062521401",0.26
"062521402",0.03
"062521403",0.38
"062521404",0.1
"062521406",0.06
"062521412",0.11
"062521419",0.04
"062521501",0
"062521508",0.23
"062521509",0.04
"062600101",0.03
"062600103",0
"062600104",0.15
"062600105",0.3
"062600106",0.22
"062600107",0.05
"062600108",0
"062600109",0.11
"062600110",0.06
"062600111",0.97
"062600112",1
"062600113",1
"062600114",0.01
"062600116",0.34
"062600117",0.01
"062600119",0
"062600201",0.07
"062600203",0.25
"062600204",0.25
"062600205",0.01
"062600206",0.99
"062600207",0.11
"062600208",0
"062600209",0
"062600212",0.41
"062600213",0.19
"062600214",0.2
"062600216",0.19
"062600301",0.04
"062600302",0
"062600304",1
"062600305",0
"062600307",0.13
"062600308",0.18
"062600309",0.19
"062600310",0
"062600314",0.32
"062600315",0.3
"062600402",0
"062600501",0.04
"062600505",0.04
"062600506",0.59
"062600507",0.22
"062600508",0.05
"062600509",0
"062600510",0
"062600512",0.01
"062600513",0.09
"062600514",0.03
"062600515",0.2
"062600801",0.02
"062600802",1
"062600803",1
"062600804",0.99
"062600805",0.92
"062600806",0.99
"062600807",0.96
"062600810",0.65
"062600811",0.9
"062600812",0.02
"062600813",0.01
"062600904",0.13
"062600905",0.03
"062601001",0.05
"062601015",0.07
"062601408",0
"062601410",0
"062601507",0
"062601508",0.01
"062601509",0
"062601518",0
"062601519",0
"062601606",0.13
"062601607",0.13
"062601608",0.25
"062601609",0.4
"062601616",0
"062601701",0
"062601703",0.3
"062601704",0.02
"062601705",0
"062601706",0.04
"062660403",0
"062660501",0
"062660601",0.01
"062660703",0.01
"062660705",0.01
"062700103",0
"062700104",0.59
"062700106",0
"062700201",0.01
"062700202",0.37
"062700215",0.01
"062700608",0.07
"062700609",0.14
